start, end , n, moe, pollster,FA,PN,PC,PI,OTHERS,SWING,method
2013-08-17,2013-08-21,1000,3,Opción,43, 27, 15,3,,,
2013-07-10,2013-07-21,1021,3,Cifra,43, 25, 14,2,,16,
2013-12-21,2013-12-21,1000,3,Equipos,44, 25, 14,2,,11,
2014-03-10,2014-03-10,900,3,Equipos,45, 28, 14, 3, 0, ,  
2014-04-10,2014-04-10,900,3,Equipos,43, 28, 16, 2, 0, ,
2014-05-10,2014-05-10,900,3,Equipos,44, 26, 16, 2, 0, ,
2014-07-10,2014-07-10,900,3,Equipos,42, 27, 13, 1, 0, ,
2014-08-10,2014-08-10,900,3,Equipos,39, 30, 13, 2, 0, 13,
2014-09-10,2014-09-10,900,3,Equipos,40, 28, 11, 2, 0, 15,
2014-10-09,2014-10-09,900,3,Equipos,41, 28, 15, 3, , ,
2014-10-09,2014-10-09,900,3,Equipos,41, 29.2, 13.5,2.4,,,f2f,
2014-02-01,2014-02-01,1000,3,Cifra,45, 28, 15, 2, 0, 10,
2014-03-01,2014-03-01,1000,3,Cifra,44, 30, 17, 2, 0, 7,
2014-04-01,2014-04-01,1000,3,Cifra,44, 30, 18, 2, 0, 6,
2014-05-01,2014-05-01,1000,3,Cifra,43, 32, 18, 2, 0, 5,
2014-07-01,2014-07-01,1000,3,Cifra,43, 30, 16, 4, 1, 6,
2014-08-01,2014-08-01,1000,3,Cifra,41, 32, 15, 4, 1, 7,
2014-09-01,2014-09-01,1000,3,Cifra,43, 33, 15, 3, 1, 5,
2014-10-06,2014-10-06,1000,3,Factum,42, 32, 15, 3, 2, 3, CATI
2014-10-13,2014-10-20,1000,3,Cifra,42, 31, 17, 3, 1, 6, CATI
2014-10-11,2014-10-19,1400,3,Interconsult,42, 32, 14, 3,2,5, CATI
2014-10-17,2014-10-21,7400,3,Radar,45.6, 31.3, 15.2, 3.3,2,2.5,Facebook
2014-10-20,2014-10-23,1000,3,Opción,45.9, 32, 15, 3.8, ,,
2014-10-01,2014-10-01,1000,4,Opción,41, 34, 11,4,4,,
2014-09-17,2014-09-21,1000,3,Opción,41, 34, 11,4,,,
2014-08-17,2014-08-21,1000,3,Opción,42, 33, 11,3,,,
2014-10-31,2014-11-03,600,4,Equipos,53,38, ,,5,4,RDD+pond
2014-10-30,2014-11-02,1004,3,Factum,52,36, ,,,12,multimetodo
2014-09-19,2014-09-21,904,3.1,Interconsult,47,46, ,,,7,CATI
2014-10-01,2014-10-01,1000,4,Opción,47.1, 45.5,,,,7.4,
2014-10-17,2014-10-21,7400,3,Radar,45, 40,,,,15,Facebook
2014-08-10,2014-08-13,1000,3,Opción,48,45,,,,7,
2014-08-01,2014-08-06,1400,3,Interconsult,46, 44,,,,10,CATI
2014-07-15,2014-07-24,1000,3.2,Factum,51, 43,,, , 3, CATI
2014-11-06,2014-11-09,1004,3.2,Factum,52,37, ,,6,5,multimetodo+pond
2014-07-25,2014-08-01,900,3,Equipos,47, 39, , , , 14,
2014-11-08,2014-11-11,7040,3,Radar,51.9, 41.1,,,,7,Facebook
2014-11-07,2014-11-10,600,4,Equipos,52,39, ,,5,4,RDD+pond
2014-11-06,2014-11-10,1000,3,Cifra,52, 35,,,7,6, CATI
2014-11-15,2014-11-18,5400,3,Radar,52.2, 42.3,,,,5.5,Facebook


